name,year,coal,gas,oil,tradition,nuclear,clean,per
AL,2006,443,327.6,43.7,814.3,333,266.2,18.83
AL,2007,469,309.3,41.6,819.9,360,228.2,16.21
AL,2008,506.8,290.4,44.6,841.8,407.6,233.4,15.74
AL,2009,459.5,268.1,41.7,769.3,415.4,264.5,18.25
AL,2010,493.1,257.4,41.5,792,396.6,231,16.27
AL,2011,468.7,226.8,48.6,744.1,411.8,244.2,17.44
AL,2012,488.1,230.4,55.2,773.7,428,231.6,16.16
AL,2013,469.2,211.8,60.3,741.3,426.5,295.9,20.22
AL,2014,414.4,196.1,57,667.5,431.4,254.9,18.83
AL,2015,331.4,183,55.4,569.8,438.7,247.7,19.72
AK,2006,22.2,496,"1,568.80",2087,0,13.3,0.63
AK,2007,20.7,488.1,"1,528.90",2037.7,0,14,0.68
AK,2008,23,447.4,"1,449.30",1919.7,0,12.9,0.67
AK,2009,29,442.7,"1,365.80",1837.5,0,15.7,0.85
AK,2010,33.6,418.5,"1,269.60",1721.7,0,16.5,0.95
AK,2011,33.5,404.7,"1,188.00",1626.2,0,15.7,0.96
AK,2012,31.3,398.5,"1,115.70",1545.5,0,17.7,1.13
AK,2013,24.9,379.9,"1,090.10",1494.9,0,18.6,1.23
AK,2014,22.9,381.3,"1,050.80",1455,0,19.8,1.34
AK,2015,17.7,380.6,"1,007.60",1405.9,0,19.2,1.35
AZ,2006,179.4,0.6,250.6,430.6,0,80.8,15.80
AZ,2007,173.9,0.7,280.9,455.5,3.8,83.2,15.34
AZ,2008,174,0.5,305.7,480.2,7.5,96.3,16.49
AZ,2009,160.7,0.7,320.7,482.1,7.6,80.7,14.15
AZ,2010,167.9,0.2,326.1,494.2,7.9,85,14.48
AZ,2011,174.8,0.2,327.3,502.3,7.7,112.7,18.10
AZ,2012,161.4,0.1,334.6,496.1,5.5,98.5,16.41
AZ,2013,163.7,0.1,328.4,492.2,0,98.8,16.72
AZ,2014,173.3,0.1,338,511.4,5.9,119.9,18.82
AZ,2015,146.5,0.1,340.2,486.8,6.9,127.6,20.54
AR,2006,0.5,278.7,34.5,313.7,159,100,17.46
AR,2007,1.9,273.9,35,310.8,162.4,120.7,20.32
AR,2008,1.5,453.4,35.3,490.2,148.1,123.4,16.20
AR,2009,0.1,691.1,33.4,724.6,158.7,124.2,12.33
AR,2010,0.7,938.1,33.3,972.1,157,118.6,9.51
AR,2011,3,"1,090.90",34.1,1128,148.5,114.7,8.24
AR,2012,2.1,"1,164.00",37.9,1204,162.4,106.4,7.22
AR,2013,1.4,"1,164.40",38.5,1204.3,124.8,109.8,7.63
AR,2014,1.9,"1,142.70",39.7,1184.3,151.4,110,7.61
AR,2015,1.8,"1,031.40",35.2,1068.4,144.7,109.3,8.27
CA,2006,0,351.1,"1,293.50",1644.6,333.5,821.8,29.35
CA,2007,0,342.8,"1,267.40",1610.2,375.4,631.8,24.14
CA,2008,0,331.2,"1,244.30",1575.5,339.5,603.7,23.97
CA,2009,0,309.8,"1,202.10",1511.9,332.2,646.5,25.96
CA,2010,0,320.1,"1,162.10",1482.2,336.6,704.9,27.93
CA,2011,0,279.7,"1,137.80",1417.5,383.6,828,31.49
CA,2012,0,277.7,"1,144.60",1422.3,193.9,698.5,30.18
CA,2013,0,287.3,"1,155.30",1442.6,187.2,738.3,31.18
CA,2014,0,271.3,"1,187.30",1458.6,177.7,742.9,31.22
CA,2015,0,265.2,"1,150.70",1415.9,193.5,743.4,31.60
CO,2006,805.7,"1,298.20",142.1,2246,0,44,1.92
CO,2007,815.5,"1,339.40",151.9,2306.8,0,52.3,2.22
CO,2008,714.7,"1,497.90",173.7,2386.3,0,80.1,3.25
CO,2009,614.6,"1,626.70",176.1,2417.4,0,80.1,3.21
CO,2010,551.8,"1,737.90",191.3,2481,0,80.2,3.13
CO,2011,586.8,"1,831.20",228.9,2646.9,0,102.6,3.73
CO,2012,629.6,"1,902.20",287.5,2819.3,0,102.2,3.50
CO,2013,529.1,"1,804.70",379.5,2713.3,0,117,4.13
CO,2014,528.2,"1,853.00",555.6,2936.8,0,125.7,4.10
CO,2015,403.6,"1,988.10",721.7,3113.4,0,119.9,3.71
CT,2006,0,0,0,0,173.1,198.7,53.44
CT,2007,0,0,0,0,171.9,195.8,53.25
CT,2008,0,0,0,0,161.3,187.6,53.77
CT,2009,0,0,0,0,174.2,203.6,53.89
CT,2010,0,0,0,0,175.1,202.6,53.64
CT,2011,0,0,0,0,166.7,194.9,53.90
CT,2012,0,0,0,0,179,204.1,53.28
CT,2013,0,0,0,0,178.5,205.9,53.56
CT,2014,0,0,0,0,165.7,196,54.19
CT,2015,0,0,0,0,182.1,210.1,53.57
DE,2006,0,0,0,0,0,0.9,100.00
DE,2007,0,0,0,0,0,1.5,100.00
DE,2008,0,0,0,0,0,3,100.00
DE,2009,0,0,0,0,0,3.6,100.00
DE,2010,0,0,0,0,0,3.6,100.00
DE,2011,0,0,0,0,0,4,100.00
DE,2012,0,0,0,0,0,3.5,100.00
DE,2013,0,0,0,0,0,3.8,100.00
DE,2014,0,0,0,0,0,4.2,100.00
DE,2015,0,0,0,0,0,3.8,100.00
FL,2006,0,3.5,13.7,17.2,327.9,530.7,60.60
FL,2007,0,2.1,12.1,14.2,307.2,511.8,61.43
FL,2008,0,2.5,11.3,13.8,335.9,545,60.91
FL,2009,0,0.3,4,4.3,304.5,522.5,62.85
FL,2010,0,12.6,10.3,22.9,250.2,496.6,64.52
FL,2011,0,15.4,11.7,27.1,230.4,480.4,65.10
FL,2012,0,0.8,12.4,13.2,187.3,420.4,67.71
FL,2013,0,0.3,12.6,12.9,277.2,519.7,64.18
FL,2014,0,0.9,12.9,13.8,291.5,532.1,63.54
FL,2015,0,0.9,12.6,13.5,294.1,541.8,63.79
GA,2006,0,0,0,0,0.1,541.2,99.98
GA,2007,0,0,0,0,0.1,541.9,99.98
GA,2008,0,0,0,0,3.5,504.3,99.31
GA,2009,0,0,0,0,13.8,525.6,97.44
GA,2010,0,0,0,0,14.4,561.7,97.50
GA,2011,0,0,0,0,14.1,549.4,97.50
GA,2012,0,0,0,0,10,555.2,98.23
GA,2013,0,0,0,0,8.2,581.1,98.61
GA,2014,0,0,0,0,14.2,598.2,97.68
GA,2015,0,0,0,0,15.5,622.1,97.57
HI,2006,0,0,0,0,0,14,100.00
HI,2007,0,0,0,0,0,15,100.00
HI,2008,0,0,0,0,0,15.9,100.00
HI,2009,0,0,0,0,0,15.8,100.00
HI,2010,0,0,0,0,0,15.2,100.00
HI,2011,0,0,0,0,0,16.5,100.00
HI,2012,0,0,0,0,0,18.1,100.00
HI,2013,0,0,0,0,0,22.4,100.00
HI,2014,0,0,0,0,0,24.1,100.00
HI,2015,0,0,0,0,0,24.9,100.00
ID,2006,0,0,0,0,0,146.5,100.00
ID,2007,0,0,0,0,0.2,125.6,99.84
ID,2008,0,0,0,0,5.1,133.5,96.32
ID,2009,0,0,0,0,1.7,134.5,98.75
ID,2010,0,0,0,0,7.8,130.6,94.36
ID,2011,0,0,0,0,7.6,176.7,95.88
ID,2012,0,0,0,0,6.8,154.8,95.79
ID,2013,0,0,0,0,6.9,138.8,95.26
ID,2014,0,0,0,0,8.5,155,94.80
ID,2015,0,0,0,0,7.7,142,94.86
IL,2006,740.9,0.2,59.9,801,982.5,"1,918.10",51.82
IL,2007,748.7,1.5,55.7,805.9,"1,004.10","1,973.70",52.16
IL,2008,758.1,1.3,54.7,814.1,994.5,"2,003.90",52.56
IL,2009,783.3,1.5,52.8,837.6,998.6,"2,081.70",53.13
IL,2010,767.4,2.2,52.6,822.2,"1,005.40","2,090.20",53.35
IL,2011,864.2,3.7,53.1,921,"1,002.70","2,188.30",53.22
IL,2012,"1,094.20",2.1,56.5,1152.8,"1,010.20","2,440.40",53.01
IL,2013,"1,149.60",2.9,55.3,1207.8,"1,014.90","2,518.70",53.12
IL,2014,"1,293.50",2,55.4,1350.9,"1,023.50","2,681.20",53.03
IL,2015,"1,252.90",2.2,54.4,1309.5,"1,017.40","2,659.70",53.34
IN,2006,783.4,3,10.3,796.7,13.4,845.6,51.07
IN,2007,783,3.7,10,796.7,37,868.3,51.02
IN,2008,803,4.8,10.8,818.6,80.4,942.4,51.18
IN,2009,800.2,5,10.5,815.7,96.5,966.3,51.44
IN,2010,790.9,6.9,10.6,808.4,111.1,987.5,51.78
IN,2011,841,9.2,11.5,861.7,129.5,"1,062.20",51.73
IN,2012,826.8,8.9,13.6,849.3,126.9,"1,044.60",51.69
IN,2013,883.3,8.1,13.9,905.3,126.1,"1,106.30",51.75
IN,2014,886.4,6.7,14.5,907.6,139.1,"1,122.40",51.74
IN,2015,776.5,7.4,12.7,796.6,153.9,"1,033.10",52.08
IA,2006,0,0,0,0,209.8,316.6,60.14
IA,2007,0,0,0,0,271.8,380.3,58.32
IA,2008,0,0,0,0,325.7,454.1,58.23
IA,2009,0,0,0,0,427.1,585.8,57.83
IA,2010,0,0,0,0,499.8,673.1,57.39
IA,2011,0,0,0,0,501.3,689.1,57.89
IA,2012,0,0,0,0,473.2,678.2,58.90
IA,2013,0,0,0,0,498.3,730.4,59.44
IA,2014,0,0,0,0,523.6,753.8,59.01
IA,2015,0,0,0,0,517.6,769.6,59.79
KS,2006,9.6,426.4,206.9,642.9,97.6,780.2,51.31
KS,2007,9.3,416.2,212.2,637.7,108.8,796.1,51.61
KS,2008,5.1,429.2,230,664.3,88.8,838.3,52.68
KS,2009,4.3,401.5,228.9,634.7,91.7,817.5,52.95
KS,2010,3.1,372.6,234.7,610.4,99.9,812.8,53.36
KS,2011,0.8,356.8,240.7,598.3,76.6,781.7,53.67
KS,2012,0.4,336.4,253.7,590.5,86.8,793.2,53.94
KS,2013,0.5,322.4,271.7,594.6,74.9,830.1,55.35
KS,2014,1.5,318.6,287.1,607.2,89.5,881.5,55.85
KS,2015,4.4,321,260,585.4,90.3,855.9,55.88
KY,2006,"3,000.90",101.3,13.6,3115.8,0,"3,177.50",50.49
KY,2007,"2,872.90",100.8,15.5,2989.2,0,"3,044.70",50.46
KY,2008,"2,927.90",121.5,15.3,3064.7,0,"3,122.60",50.47
KY,2009,"2,616.10",122,15.1,2753.2,0,"2,823.10",50.63
KY,2010,"2,556.10",146.1,14.6,2716.8,0,"2,781.40",50.59
KY,2011,"2,623.80",134.5,13.5,2771.8,0,"2,840.80",50.61
KY,2012,"2,193.30",119.1,18.5,2330.9,0,"2,391.10",50.64
KY,2013,"1,940.10",107.1,16.8,2064,0,"2,138.20",50.88
KY,2014,"1,869.30",105.6,19.6,1994.5,0,"2,070.10",50.93
KY,2015,"1,486.00",98.1,16.4,1600.5,0,"1,673.90",51.12
LA,2006,57.5,"1,578.40",427,2062.9,174.6,"2,387.00",51.62
LA,2007,42.9,"1,584.50",446.5,2073.9,179.1,"2,403.00",51.61
LA,2008,54.8,"1,568.70",419.6,2043.1,160.7,"2,313.10",51.21
LA,2009,50.5,"1,737.00",399.2,2186.7,175.5,"2,469.40",51.11
LA,2010,54.3,"2,426.50",390.2,2871,194.8,"3,170.70",50.84
LA,2011,52.4,"3,240.20",400,3692.6,173.9,"3,972.80",50.68
LA,2012,53,"3,054.60",409.7,3517.3,164.1,"3,785.30",50.70
LA,2013,38.1,"2,466.30",417.2,2921.6,177.2,"3,217.60",50.94
LA,2014,35.5,"2,070.60",398.9,2505,181.1,"2,828.70",51.29
LA,2015,46.9,"1,890.70",359.5,2297.1,160,"2,583.80",51.26
ME,2006,0,0,0,0,0,152.3,100.00
ME,2007,0,0,0,0,0,155.6,100.00
ME,2008,0,0,0,0,0,182.6,100.00
ME,2009,0,0,0,0,0,148.2,100.00
ME,2010,0,0,0,0,0,151.9,100.00
ME,2011,0,0,0,0,0,154.6,100.00
ME,2012,0,0,0,0,0,152.2,100.00
ME,2013,0,0,0,0,0,155.3,100.00
ME,2014,0,0,0,0,0,151.5,100.00
ME,2015,0,0,0,0,0,141.7,100.00
MD,2006,122.2,0,144.3,266.5,0,312.1,53.94
MD,2007,53.8,0,150.6,204.4,0,245.2,54.54
MD,2008,65.6,0,153.4,219,0,263.7,54.63
MD,2009,53.4,0,152.2,205.6,0,254.1,55.28
MD,2010,58.8,0,146.3,205.1,0,250.7,55.00
MD,2011,65.9,0,150.7,216.6,0,272.6,55.72
MD,2012,54.1,0,142.3,196.4,0,244.8,55.49
MD,2013,45.3,0,149,194.3,0,247.9,56.06
MD,2014,46.2,0,150,196.2,0,249.4,55.97
MD,2015,45.6,0,153.1,198.7,0,249.8,55.70
MA,2006,0,0,0,0,60.8,106.4,63.64
MA,2007,0,0,0,0,53.7,91.9,63.12
MA,2008,0,0,0,0,61.3,104.1,62.94
MA,2009,0,0,0,0,56.4,105.8,65.23
MA,2010,0,0,0,0,61.9,108.6,63.70
MA,2011,0,0,0,0,53.2,102.4,65.81
MA,2012,0,0,0,0,61.4,108.7,63.90
MA,2013,0,0,0,0,45.3,99.2,68.65
MA,2014,0,0,0,0,60.3,119.7,66.50
MA,2015,0,0,0,0,52.2,110.3,67.88
MI,2006,0,272.2,33.9,306.1,303.3,726.6,54.39
MI,2007,0,274.9,32.9,307.8,330.6,770.5,54.69
MI,2008,0,162.2,36.5,198.7,329.1,672.8,56.04
MI,2009,0,160.3,35.9,196.2,228.5,555.8,56.69
MI,2010,0,137.5,40.1,177.6,309.6,626.2,56.24
MI,2011,0,143.8,40.2,184,344.2,680,56.28
MI,2012,0,135.3,42.9,178.2,293.6,625.4,57.00
MI,2013,0,129.9,44.4,174.3,302.2,654.5,57.87
MI,2014,0,120.2,42.5,162.7,326.8,682.6,58.24
MI,2015,0,114.2,36.7,150.9,306.8,646,58.53
MN,2006,0,0,137.6,137.6,76.9,294.7,57.88
MN,2007,0,0,137.4,137.4,82.5,316.7,59.02
MN,2008,0,0,135.8,135.8,99.4,350.9,59.87
MN,2009,0,0,129.6,129.6,130.7,388.2,59.86
MN,2010,0,0,140.9,140.9,159.2,428.9,58.83
MN,2011,0,0,125.1,125.1,158.1,425.2,60.02
MN,2012,0,0,125.2,125.2,144.4,422.9,61.07
MN,2013,0,0,111.9,111.9,141.2,405.7,61.58
MN,2014,0,0,132.9,132.9,158.6,466.1,61.52
MN,2015,0,0,125.9,125.9,157.4,452.1,61.48
MS,2006,38.8,85.4,100.7,224.9,108.7,396.7,54.32
MS,2007,36.2,96.1,119.9,252.2,98.2,414,54.16
MS,2008,28.8,115.6,128.2,272.6,98.2,418.2,53.00
MS,2009,35.1,117.6,134.7,287.4,115,456.2,53.13
MS,2010,41.6,104.3,139.7,285.6,100.8,448.7,53.73
MS,2011,28.8,100.4,140.6,269.8,108.2,441.3,53.86
MS,2012,30.5,65.4,142.6,238.5,76.5,390.2,55.33
MS,2013,37.2,60.9,141.2,239.3,113.5,410.2,53.76
MS,2014,39.1,56.7,141.2,237,107.2,402.9,53.93
MS,2015,34.5,60.5,142.5,237.5,122.5,420.7,53.89
MO,2006,8.5,0.5,105.6,114.6,16.5,157.1,54.51
MO,2007,5.3,0.5,98.3,104.1,22.5,164.6,56.52
MO,2008,5.4,0.6,98,104,30.9,185.7,57.92
MO,2009,9.6,0.6,107.2,117.4,35.8,211.1,57.95
MO,2010,9.8,0.8,94,104.6,37.5,198.3,58.25
MO,2011,10.1,0.7,98.1,108.9,36,197.7,57.71
MO,2012,9.2,1,112.3,122.5,33.7,203,56.51
MO,2013,9.1,1.2,87.4,97.7,34.5,191.4,59.15
MO,2014,8.2,1.1,97,106.3,36.3,199.4,58.30
MO,2015,3.2,0.9,109.2,113.3,35.3,205.2,58.00
MT,2006,755,117,210.5,1082.5,0,"1,204.70",52.67
MT,2007,778.1,121.3,202.5,1101.9,0,"1,219.60",52.53
MT,2008,794.2,116.8,183.3,1094.3,0,"1,217.40",52.66
